food_id,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,meal,location,allergen,tag,ingredient
30163.0,"Iced Mocha Latte, Grande",1 GRANDE,326.0,46,5.1g,2.9g,0.2g,18.3mg,156.8mg,9.9g,58.3g,1.8g,51.1g,36%,1%,11%,0%,breakfast & lunch & dinner,Deets,Milk,"milk, ","WHOLE MILK (milk, vitamin D3 added), SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), CRUSHED ICE, CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30164.0,"Iced Mocha Latte, Short",1 SHORT,205.0,37,4.1g,2.3g,0.1g,14.7mg,117.3mg,8g,33.3g,0.9g,29.7g,29%,0%,9%,0%,breakfast & lunch & dinner,Deets,Milk,"milk, ","SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), WHOLE MILK (milk, vitamin D3 added), CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30165.0,"Iced Mocha Latte, Tall",1 TALL,259.0,39,4.4g,2.5g,0.1g,15.7mg,131.6mg,8.5g,45.2g,1.4g,39.8g,31%,0%,10%,0%,breakfast & lunch & dinner,Deets,Milk,"milk, ","SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), WHOLE MILK (milk, vitamin D3 added), CRUSHED ICE, CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30169.0,"Milk, Grande",1 GRANDE,291.0,92,10.2g,5.9g,0.3g,36.7mg,260.2mg,20g,29.9g,0g,29.9g,72%,1%,22%,0%,breakfast & lunch & dinner,Deets,Milk,"milk, ","SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), WHOLE MILK (milk, vitamin D3 added)"
30170.0,"Milk, Short",1 SHORT,175.0,55,6.1g,3.5g,0.2g,22mg,156.3mg,12g,17.9g,0g,17.9g,43%,1%,13%,0%,breakfast & lunch & dinner,Deets,Milk,"milk, ","SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), WHOLE MILK (milk, vitamin D3 added)"
30171.0,"Milk, Tall",1 TALL,232.0,73,8.1g,4.7g,0.2g,29.3mg,207.8mg,15.9g,23.9g,0g,23.9g,57%,1%,18%,0%,breakfast & lunch & dinner,Deets,Milk,"milk, ","SKIM MILK (fat free milk, vitamin a palmitate, vitamin d3.), WHOLE MILK (milk, vitamin D3 added)"
30172.0,"Refresher Drink Kiwi Lime, Grande",1 GRANDE,3.0,0,0g,0g,0g,0mg,0mg,0g,0.7g,0g,0.6g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,Gluten,None,"Kiwi Lime Refresher (WATER, KIWI LIME REFRESH CONCENTRATE (water, sugar, key lime juice concentrate, apple juice concentrate, natural flavors, erythritol, citric acid, green coffee extract, gum arabic, sodium benzoate, and potassium sorbate (preservatives), rebaudioside A (stevia leaf extract), sucrose acetate isobutyrate, fruit juice for color)), CRUSHED ICE"
30173.0,"Refresher Drink Kiwi Lime, Tall",1 TALL,2.0,0,0g,0g,0g,0mg,0mg,0g,0.5g,0g,0.5g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,Gluten,None,"Kiwi Lime Refresher (WATER, KIWI LIME REFRESH CONCENTRATE (water, sugar, key lime juice concentrate, apple juice concentrate, natural flavors, erythritol, citric acid, green coffee extract, gum arabic, sodium benzoate, and potassium sorbate (preservatives), rebaudioside A (stevia leaf extract), sucrose acetate isobutyrate, fruit juice for color)), CRUSHED ICE"
30174.0,"Refresher Drink Kiwi Line, Short",1 SHORT,2.0,0,0g,0g,0g,0mg,0mg,0g,0.4g,0g,0.3g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,Gluten,None,"Kiwi Lime Refresher (WATER, KIWI LIME REFRESH CONCENTRATE (water, sugar, key lime juice concentrate, apple juice concentrate, natural flavors, erythritol, citric acid, green coffee extract, gum arabic, sodium benzoate, and potassium sorbate (preservatives), rebaudioside A (stevia leaf extract), sucrose acetate isobutyrate, fruit juice for color)), CRUSHED ICE"
30175.0,"Refresher Drink Raspberry, Grande",1 GRANDE,3.0,0,0g,0g,0g,0mg,0mg,0g,0.7g,0g,0.6g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,Gluten,None,"REFRESHER RASPERRY POMEGRANATE MIX (WATER, RASPBERRY POMEGRANATE REFRESH CONCENTRATE (water, sugar, red raspberry juice concentrate, natural flavor, pomegranate juice concentrate, erythritol, citric acid, green coffee extract, sodium benzoate and potassium sorbate (preservatives), rebaudioside A (stevia leaf extract), fruit and vegetable juice for color)), CRUSHED ICE"
