,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,ingredient,meal
33,Fried Zucchini w/Pork & Prawns,4 OZ,139,57,6.3g,1.1g,0g,51.9mg,676.5mg,11.5g,8.5g,0.6g,5.3g,3%,4%,4%,15%,"FRESH ZUCCHINI, PORK, CHILI GARLIC SAUCE (water, sugar, miso paste (water, soybeans, rice, sea salt, koji starter [aspergillus oryzae]), soy sauce (water, wheat, soybeans, salt, sodium benzoate as a preservative), lima beans (lima beans, water, salt), 2% or less of toasted sesame oil, salt, garlic puree, modified cornstarch, tomato powder, roasted red bell pepper puree, citric acid, paprika, vinegar, xanthan gum.   contains: soy, wheat ingredients), SHRIMP, FRESH ONIONS, THAI FISH SAUCE (water, anchovy extract, salt, sugar), FRESH GREEN ONION, FRESH RED PEPPER, Oil Blend (SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SESAME OIL (100% pure sesame oil.)), FRESH GARLIC, CILANTRO",lunch
34,Southeast Asian Fried Rice,4 OZ,156,36,4g,0.9g,0g,9mg,194.1mg,3.5g,26.9g,0.2g,1.4g,1%,2%,2%,3%,"Jasmine Rice (WATER, JASMINE RICE), PINEAPPLE (pineapple, pineapple juice and citric acid. ), SHRIMP, Oil Blend (SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SESAME OIL (100% pure sesame oil.)), SOY SAUCE (water, wheat, soybeans, salt, sodium benzoate less than 1/10 of 1% as a  preservative.), FRESH GREEN ONIONS, COCONUT MILK (coconut cream, stabilizer blend of carboxymethyl cellulose, xanthan gum and polysorbate 60. contains: coconut), CILANTRO, GINGER ROOT, LEMONGRASS FLAVOR (soybean oil, natural extractives of lemograss), FRESH GARLIC, SRIRACHA HOT PEPPER SAUCE (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium  bisulfite as preservatives, and xanthan gum.)",lunch
35,Steamed Rice**,4 OZ,208,0,0g,0g,0g,0mg,0mg,3.9g,48.1g,0g,0g,0%,3%,0%,0%,"JASMINE RICE, WATER",lunch
36,Thai Coconut Soup,6 OZ,400,343,38g,32.4g,0g,25.4mg,455.6mg,12.9g,7.1g,0.4g,1.2g,5%,35%,12%,9%,"COCONUT MILK (coconut cream, stabilizer blend of carboxymethyl cellulose, xanthan gum and polysorbate 60. contains: coconut), WATER, CHICKEN BREAST (Halal certified chicken), CILANTRO, FRESH GREEN ONIONS, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), SRIRACHA HOT PEPPER SAUCE (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium  bisulfite as preservatives, and xanthan gum.), CHICKEN BASE (chicken and chicken stock, salt, hydrolyzed soy, corn and wheat proteins, chicken fat, sugar, maltodextrin, dried whey, 2% or less of natural flavors, disodium inosinate/disodium guanylate, corn oil, autolyzed yeast extract, natural extractives or turmeric and annatto.  *other than that which naturally occurs in the hydrolyzed proteins in autolyzed yeast extract.  contains: milk, soy, wheat ingredients), THAI FISH SAUCE (water, anchovy extract, salt, sugar), LEMONGRASS FLAVOR (soybean oil, natural extractives of lemograss)",lunch
37,Brazilian Chimichurri Sauce**,1 OZ,104,102,11.3g,1.6g,0g,0mg,223mg,0.5g,1.7g,0.3g,0.1g,2%,2%,12%,11%,"SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), WINE VINEGAR (red wine vinegar, potassium metabisulfite (to preserve freshness), diluted with water to 5% acidity.  contains: sulfites ), FRESH GARLIC, PARSLEY, CILANTRO, BASIL, SALT (salt, calcium silicate, dextrose, potassium iodide.), PEPPER SAUCE (vinegar, aged peppers (peppers, salt, vinegar), water, xanthan gum and benzoate of soda (to preserve freshness and flavor)), BLACK PEPPER",lunch
38,Gaucho's Carved Pork,4 OZ,124,41,4.5g,1.4g,0g,56.6mg,33.7mg,19.5g,0g,0g,0g,0%,3%,0%,0%,PORK,lunch
39,Gaucho's Seasoned Carved Beef,4 OZ,205,103,11.4g,4.4g,0g,70.2mg,2318.2mg,22.3g,2.5g,0.6g,0.1g,2%,15%,0%,2%,"BEEF SIRLOIN, KOSHER SALT (salt, yellow prussiate of soda), FRESH GARLIC, BLACK PEPPER, OLIVE OIL",lunch
40,Strawberry Rhubarb Chicken,5 oz,177,27,3g,0.8g,0g,65.1mg,136.2mg,24.4g,12.4g,1g,9.9g,4%,6%,1%,38%,"Strawberry Rhubarb BBQ Sauce (VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.), STRAWBERRIES, WATER, FROZEN RHUBARB, BROWN SUGAR (brown sugar (cane sugar, cane syrups)), FRESH GARLIC, CHIPOTLE FOOD BASE (peppers (red, jalapeno), sauteed vegetables (onions, carrots and  celery), maltodextrin, chipotle powder, salt, corn oil, sorbitol, olive  oil, water, spices, molasses, onion powder, vinegar, sugar, modified  food starch, palm oil, garlic, hydrolyzed wheat gluten, soybean oil,  potassium sorbate, citric acid, canola oil, disodium inosinate/disodium  guanylate, yeast extract, lactic acid, natural flavor, natural smoke  flavor, lipolyzed butter oil. contains: milk, soy, wheat ingredients. ), GLAZE BALSAMIC VINEGAR (balsamic vinegar of modena (wine vinegar, concentrated grape must, caramel color), sugar, glucose syrup, dextrose, modified corn starch, xanthan gum (as stabilizer).), CHILI POWDER (chili pepper, salt, spices, garlic, and silicon dioxide (added to make free flowing) ), KOSHER SALT (salt, yellow prussiate of soda), DRY MUSTARD (mustard), BLACK PEPPER), CHICKEN BREAST (Halal certified chicken)",lunch
41,All Beef Burger,2 1/2 OZ,211,108,11.9g,4.7g,0g,51.3mg,348.2mg,16g,9.7g,0.1g,2.5g,4%,11%,2%,0%,"GROUND BEEF, SWEET ROLL (unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), nonfat milk, sugar, water , butter* (made from milk) , wheat gluten, yeast, contains 2% or less of each of the following: yellow corn flour, calcium sulfate, salt, potato flour, dough conditioners (contains one or more of the following:  sodium stearoyl lactylate, calcium stearoyl lactylate, monoglycerides, mono- and diglycerides, distilled monoglycerides, calcium peroxide, calcium iodate, datem, ethoxylated mono- and diglycerides,  enzymes, ascorbic acid), soy flour, wheat starch, soy lecithin, glaze (water, sunflower oil, vegetable proteins, wheat maltodextrins, wheat dextrose, corn starch), calcium carbonate, monocalcium phosphate , calcium propionate (to retard spoilage).), Burger Seasoning (SHIITAKE MUSHROOM EXTRACT POWDER (maltodextrin, shiitake mushroom extract, yeast extract, and salt), SALT (salt, calcium silicate, dextrose, potassium iodide.), GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), BLACK PEPPER, PAPRIKA (paprika and silicon dioxide (added to make free flowing) )), GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)",lunch
42,"Chicken Breast, Crispy Fried",3 OZ,201,27,3g,1.1g,0g,55.3mg,1239.3mg,22.9g,19.9g,0g,1.7g,4%,8%,0%,0%,"CHICKEN BREAST (Halal certified chicken), SEASONED FLOUR (wheat flour, salt, pepper and other spices, dextrose, monosodium glutamate,  disodium inosinate, disodium guanylate.), SWEET ROLL (unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), nonfat milk, sugar, water , butter* (made from milk) , wheat gluten, yeast, contains 2% or less of each of the following: yellow corn flour, calcium sulfate, salt, potato flour, dough conditioners (contains one or more of the following:  sodium stearoyl lactylate, calcium stearoyl lactylate, monoglycerides, mono- and diglycerides, distilled monoglycerides, calcium peroxide, calcium iodate, datem, ethoxylated mono- and diglycerides,  enzymes, ascorbic acid), soy flour, wheat starch, soy lecithin, glaze (water, sunflower oil, vegetable proteins, wheat maltodextrins, wheat dextrose, corn starch), calcium carbonate, monocalcium phosphate , calcium propionate (to retard spoilage).)",lunch
43,French Fries**,4 OZ,162,49,5.4g,1.4g,0g,0mg,445.5mg,2.7g,25.7g,2.7g,0g,0%,5%,0%,8%,"FRENCH FRIES (potatoes, vegetable oil (may contain one or more of the following: canola oil, sunflower oil, cottonseed oil, palm oil, corn oil, soybean oil, hydrogenated soybean and/or cottonseed oil), salt, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.)",lunch
44,Pepper Jelly**,1 OZ,72,0,0g,0g,0g,0mg,0.8mg,0g,18.5g,0.1g,18.4g,0%,0%,1%,6%,"SUGAR, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), FRESH GREEN PEPPERS, FRESH RED PEPPER, JALAPENOS, PECTIN POWDER (dextrose, citric acid (assists gel), fruit pectin), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), RED PEPPER (crushed red pepper)",lunch
45,Pork Belly for Burgers,1 OZ,163,151,16.8g,5.7g,0g,20.4mg,21.6mg,2.6g,0g,0g,0g,0%,1%,2%,0%,"SMOKED PORK BELLY, GRIDDLE OIL (high oleic canola oil, soybean oil, hydrogenated soybean oil, salt,  soybean lecithin (soy), natural and artificial butter flavor (made from  corn-gluten and dairy-free). tbhq and citric acid added. colored with  beta carotene. vitamin a palmitate added.  contains soy.)",lunch
46,Ranch Fries**,3 OZ,109,32,3.6g,0.9g,0g,0mg,910mg,1.8g,17.4g,1.8g,0.2g,0%,4%,0%,5%,"FRENCH FRIES (potatoes, vegetable oil (may contain one or more of the following: canola oil, sunflower oil, cottonseed oil, palm oil, corn oil, soybean oil, hydrogenated soybean and/or cottonseed oil), salt, disodium dihydrogen pyrophosphate (to promote color retention), dextrose.), Ranch Seasoning for Fries** (RANCH DRESSING MIX (salt, monosodium glutamate, maltodextrin, dehydrated parsley, garlic powder, onion powder, canola oil, carrageenan, buttermilk product, turmeric (color), with not more than 2% calcium stearate added as an anti-caking agent. Contains: Milk), KOSHER SALT (salt, yellow prussiate of soda), SUGAR, ONION POWDER (onion powder. ))",lunch
47,Jalapeno Cheddar Hush Puppies,2 OZ,78,14,1.5g,0.6g,0g,13.9mg,249mg,2.5g,14g,1.2g,0.6g,7%,6%,3%,7%,"CORN MEAL (corn meal, wheat flour, calcium phosphate, soda, salt.), CREAM STYLE CORN (corn, water, sugar, modified corn starch, salt.), SELF-RISING FLOUR (wheat flour, phosphate, soda, salt.), FRESH EGGS, JALAPENO CHILI, FRESH ONIONS, CHEDDAR CHEESE (cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto  [color]), potato starch and powdered cellulose added to  prevent caking, natamycin (a natural mold inhibitor) contains: milk)",lunch
48,Pork Belly -N- Greens,2 OZ,84,68,7.5g,3.3g,0.1g,12.3mg,291.3mg,1.2g,3.7g,0.7g,1.7g,5%,2%,54%,11%,"Veggie Stock (WATER, VEGETABLE BASE (sauteed vegetable puree mix (carrots, onions, celery), salt, sugar, maltodextrin, corn oil, less than 2% of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate)), COLLARD GREENS, SMOKED PORK BELLY, UNSALTED BUTTER (pasteurized cream, natural flavorings contains: milk), FRESH ONIONS, SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), SUGAR, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), KOSHER SALT (salt, yellow prussiate of soda), FRESH GARLIC",lunch
49,Baked Potato**,1 POTATO,117,41,4.6g,0.7g,0g,0mg,344.5mg,1.7g,18.3g,1.3g,1.4g,0%,2%,0%,18%,"POTATOES, SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), KOSHER SALT (salt, yellow prussiate of soda)",lunch
50,Cauliflower,4 OZ,20,2,0.2g,0g,0g,0mg,19mg,1.7g,4g,2.8g,1.1g,2%,2%,0%,55%,CAULIFLOWER,lunch
51,"Cereal, Cocoa Pebbles**",3/4 CUP,120,9,1g,1g,0g,0mg,169.9mg,1g,25g,0g,10g,0%,10%,15%,0%,"COCOA PEBBLES CEREAL (rice, sugar, hydrogenated vegetable oil (coconut and palm kernel oils),  cocoa (processed with alkali), salt, caramel color, natural and  artificial flavor, bha (to help protect flavor). vitamins and minerals:   niacinamide, reduced iron, zinc oxide (source of zinc), vitamin b6,  vitamin a palmitate, riboflavin (vitamin b2), thiamin mononitrate  (vitamin b1), folic acid, vitamin b12, vitamin d. kosher)",lunch
52,"Cereal, Fruity Pebbles**",3/4 CUP,110,9,1g,1g,0g,0mg,139.9mg,1g,23g,0g,9g,0%,10%,14%,10%,"FRUITY PEBBLES CEREAL (rice, sugar, hydrogenated vegetable oil (coconut and palm kernel oils),  salt, contains less than 0.5% of natural and artificial flavor, red 40,  yellow 6, turmeric oleoresin (color), blue 1, yellow 5, blue 2, bha (to  help protect flavor).  vitamins and minerals: sodium ascorbate (source  of vitamin c), ascorbic acid (vitamin c), niacinamide, reduced iron,  zinc oxide (source of zinc), vitamin b6, vitamin a palmitate, riboflavin  (vitamin b2), thiamin mononitrate (vitamin b1), folic acid, vitamin  b12, vitamin d.  kosher)",lunch
53,"Cereal, Rice Chex**",3/4 CUP,100,0,0g,0g,0g,0mg,239.9mg,2g,23g,1g,2g,10%,50%,1%,10%,"RICE CHEX CEREAL (whole grain rice, rice, sugar, salt, molasses. vitamin e (mixed  tocopherols) and bht added to preserve freshness.vitamins and minerals:  calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium  ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine  hydrochloride), vitamin b2 (riboflavin), vitamin b1 (thiamin  mononitrate), vitamin a (palmitate), a b vitamin (folic acid), vitamin  b12, vitamin d3.)",lunch
54,Fresh Steamed Asparagus,3 OZ,17,2,0.2g,0g,0g,0mg,11.1mg,1.9g,3.3g,1.6g,1g,2%,4%,16%,10%,ASPARAGUS,lunch
55,Gluten Free Brownie*,1 BROWNIE,350,144,16g,2g,0g,50mg,240mg,3g,48g,2g,34g,2%,2%,0%,0%,"GLUTEN FREE BROWNIE (sugar, expeller pressed canola oil, eggs, potato starch, cocoa alkali  processed, salt, xanthan gum, natural vanilla flavor, natural chocolate flavor.  contains: eggs  manufactured on shared equipment with soy.)",lunch
56,Gluten Free Chocolate Chip Cookie*,1 COOKIE,320,144,16g,8g,0g,25mg,250mg,1g,43g,1g,22g,8%,8%,0%,0%,"GLUTEN FREE CHOCOLATE CHIP COOKIE (potato starch, semisweet chocolate chips (dried cane syrup, chocolate  liquor, cocoa butter), brown sugar, organic palm oil, eggs, invert  sugar, sugar, tapioca starch, expeller pressed canola oil, leavening  (sodium acid pyrophosphate, baking soda, monocalcium phosphate), xanthan  gum, salt, natural vanilla flavor. contains: eggs manufactured on shared equipment with soy.)",lunch
57,Gluten Free Ham & Noodles Au Gratin,6 OZ,322,160,17.7g,7.8g,1.1g,47.5mg,544.8mg,15.1g,24.3g,0.6g,4.7g,25%,3%,11%,0%,"WHOLE MILK (milk, vitamin D3 added), HAM (easy slice carving ham cured with water, salt, sodium lactate, sugar, sodium phosphate, sodium  diacetate, sodium erythorbate, sodium nitrite.), GLUTEN FREE PASTA (corn flour, rice flour, mono and di-glycerides), MONTEREY JACK CHEESE (monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes),  potato starch and powdered cellulose added to prevent caking, natamycin  (a natural mold inhibitor).  contains: milk), CHEDDAR CHEESE (cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto  [color]), potato starch and powdered cellulose added to  prevent caking, natamycin (a natural mold inhibitor) contains: milk), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), GLUTEN FREE RICE FLOUR (long grain white rice flour), GLUTEN FREE BREAD CRUMBS (water, potato extract, rice starch, rice flour, cane sugar, sorghum,  flour, high oleic canola/sunflower oil, egg whites, yeast, sea salt,  xanthan gum, molasses, flax seed, millet, sunflower seeds, cornmeal,  honey), MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), DRY MUSTARD (mustard), KOSHER SALT (salt, yellow prussiate of soda), ONION POWDER (onion powder. ), BLACK PEPPER",lunch
58,Lemon Herb Rotisserie Chicken,1/4 CHICK,244,107,11.8g,3.3g,0g,94.3mg,1027.6mg,31.5g,1.2g,0.4g,0.2g,2%,8%,6%,4%,"Brine for Chicken (CRUSHED ICE, WATER, PARSLEY, CRACKED BLACK PEPPER, LEMONS, KOSHER SALT (salt, yellow prussiate of soda), FRESH GARLIC, BROWN SUGAR (brown sugar (cane sugar, cane syrups)), BAY LEAVES, LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.)), CHICKEN LEGS (Halal certified chicken), CHICKEN BREAST (Halal certified chicken), LEMON PEPPER SEASONING (salt, black pepper, citric acid, onion, sugar, garlic, calcium stearate,  silicon dioxide, and calcium silicate( added to make free flowing), celery seed, lemon oil, and fd&c  yellow 5 lake.)",lunch
59,"Pizza, Gluten Free Cheese*",1 PIZZA,332,147,16.3g,8.1g,0g,44mg,1241.4mg,17.3g,30.4g,2.1g,4.1g,30%,3%,15%,6%,"PIZZA CHEESE (low moisture part skim mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), potato starch, canola oil and cellulose powder added to prevent caking, natamycin (a natural food inhibitor) contains: milk), GROUND TOMATOES (vine-ripened fresh tomatoes, salt and naturally derived citric acid.), GLUTEN FREE PIZZA CRUST (rice flour, filtered water, tapioca starch, potato starch, egg whites,  eggs, extra virgin olive oil, modified corn starch, sugar, vegetable  shortening (canola oil, hydrogenated cottonseed oil), contains less than  2% of the following: yeast, cellulose gum, natural flavor, potassium  chloride, salt, kosher gelatin, leavening (baking soda, sodium aluminum  phosphate), xanthan gum, distilled monoglycerides, guar gum. contains:  eggs manufactured on shared equipment with soy.), Cheesestick Seasoning (ONION SALT (salt, onion, sodium silicon aluminate (added to make free flowing), and onion oil.), GARLIC (Processed on the same manufacturing line as products that contain soy, wheat, gluten, dairy, eggs,  and tree nuts. ), ITALIAN SEASONING (marjoram, thyme, rosemary, savory, sage, oregano, basil.), PAPRIKA (paprika and silicon dioxide (added to make free flowing) ), GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), RED PEPPER)",lunch
60,Penne Pasta**,8 OZ,257,37,4.1g,0.8g,0.1g,53.5mg,9.2mg,8.4g,46.4g,2.2g,0.7g,2%,15%,1%,0%,"PENNE PASTA (semolina, (enriched with iron (ferrous sulfate), and b vitamins (niacin, thiamin  mononitrate, riboflavin, folic acid). contains: wheat), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil)",lunch
61,Alfredo Sauce*,6 OZL,381,307,34g,10.9g,0.7g,47.6mg,925.3mg,8.2g,9.5g,0g,5.4g,20%,0%,5%,0%,"ALFREDO SAUCE (cream, skim milk, water, parmesan and asiago cheese blend with flavor (parmesan cheese [cultured milk, salt, enzymes], asiago cheese [cultured milk, salt, enzymes], enzyme modified parmesan cheese [cultured milk, water, salt, enzymes], whey, salt), soybean oil, canola oil, modified cornstarch, 2% or less of romano cheese ([made from cow's milk], pasteurized milk, cheese culture, salt, enzymes), cream (cream, nonfat milk), lactose (contains milk), datem, spice, xantham gum, seasoning (cornstarch, extractives of turmeric and annatto, natural flavor), seasoning (maltodextrin, flavor, enzyme modified butterfat) contains milk ingredients. )",lunch
62,Cheese Breadsticks*,1 CHS BRDSTK,106,29,3.3g,1.4g,0g,6.5mg,265.2mg,4.5g,14.6g,0.5g,0.4g,5%,5%,2%,0%,"Pizza Dough (Pizza Dough (HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), WATER, CANOLA OIL (canola oil. ), SUGAR (sugar), SALT (salt, sodium silicoaluminate. ), YEAST (instant yeast. ))), PIZZA CHEESE (low moisture part skim mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), potato starch, canola oil and cellulose powder added to prevent caking, natamycin (a natural food inhibitor) contains: milk), Cheesestick Seasoning (ONION SALT (salt, onion, sodium silicon aluminate (added to make free flowing), and onion oil.), GARLIC (Processed on the same manufacturing line as products that contain soy, wheat, gluten, dairy, eggs,  and tree nuts. ), ITALIAN SEASONING (marjoram, thyme, rosemary, savory, sage, oregano, basil.), PAPRIKA (paprika and silicon dioxide (added to make free flowing) ), GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), RED PEPPER), VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",lunch
63,Cheese Pizza*,1/12 PIZZA,203,46,5g,2.6g,0g,12.6mg,351.7mg,9.6g,29.6g,1.3g,1.2g,10%,10%,5%,2%,"Neapolitan Pizza Dough (Neapolitan Pizza Dough (HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), WATER, SALT (salt, sodium silicoaluminate. ), YEAST (instant yeast. ))), PIZZA CHEESE (low moisture part skim mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), potato starch, canola oil and cellulose powder added to prevent caking, natamycin (a natural food inhibitor) contains: milk), GROUND TOMATOES (vine-ripened fresh tomatoes, salt and naturally derived citric acid.), VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",lunch
64,Italian Meat Sauce,5 OZ,149,56,6.2g,2.3g,0g,23mg,584.9mg,8.7g,15.3g,3.5g,11.7g,3%,8%,12%,5%,"SPAGHETTI SAUCE (tomato puree (water, tomato paste), diced tomatoes in tomato juice, sugar, vegetable oil (corn, cottonseed,  and/or canola), salt, dehydrated onions, spice, dehydrated garlic, citric acid, natural flavoring.), GROUND BEEF",lunch
65,Marinara Sauce**,4 OZL,66,13,1.4g,0.5g,0g,0mg,453.6mg,1.9g,12.3g,2.8g,9.5g,2%,4%,9%,4%,"SPAGHETTI SAUCE (tomato puree (water, tomato paste), diced tomatoes in tomato juice, sugar, vegetable oil (corn, cottonseed,  and/or canola), salt, dehydrated onions, spice, dehydrated garlic, citric acid, natural flavoring.)",lunch
66,Pepperoni Pizza,1/12 PIZZA,237,70,7.8g,3.5g,0g,19.4mg,461.1mg,10.7g,29.6g,1.3g,1.2g,10%,11%,5%,2%,"Neapolitan Pizza Dough (Neapolitan Pizza Dough (HIGH GLUTEN FLOUR (bleached wheat flour, malted barley flour, niacin, potassium bromate,  thiamin mononitrate, riboflavin, folic acid.), WATER, SALT (salt, sodium silicoaluminate. ), YEAST (instant yeast. ))), PIZZA CHEESE (low moisture part skim mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), provolone cheese (pasteurized milk, cheese cultures, salt, enzymes), potato starch, canola oil and cellulose powder added to prevent caking, natamycin (a natural food inhibitor) contains: milk), GROUND TOMATOES (vine-ripened fresh tomatoes, salt and naturally derived citric acid.), PEPPERONI (pork, beef, salt, spices, dextrose, lactic acid starter culture, oleoresin of paprika, flavoring, garlic powder, sodium nitrate, bha, bht, citric acid ), VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",lunch
67,Whole Wheat Spaghetti**,4 OZ,149,14,1.6g,0.1g,0g,0mg,7.2mg,5.1g,29.7g,4.3g,1.4g,0%,11%,0%,0%,"WHOLE WHEAT SPAGHETTI (whole wheat durum wheat flour, semolina (wheat), durum wheat flour, oat fiber, niacin, iron (ferrous sulfate), thiamine mononitrate, riboflavin, folic acid contains wheat ingredients. this product is manufactured on equipment that processes products containing eggs.), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil)",lunch
68,Blackeyed Pea Falafel*,3 OZ,107,63,7g,4.1g,0.1g,22.2mg,191mg,4.8g,6.8g,1.1g,2.5g,12%,2%,7%,9%,"Roasted Red Pepper Cheese Spread (Cheese Blend (MUENSTER CHEESE (pasteurized milk, cheese culture, salt, enzymes, annatto (color).), SWISS CHEESE (pasteurized part-skim milk, cheese culture, salt, and enzymes.), PROVOLONE CHEESE (pasteurized milk, cheese cultures, salt, enzymes. contains: milk.), CHEDDAR CHEESE (pasteurized milk, cheese culture, salt, enzymes, annatto color.)), CREAM CHEESE (pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums). contains: milk ), RED PEPPERS (red bell peppers, water, sea salt and citric acid. ), KOSHER SALT (salt, yellow prussiate of soda), CRACKED BLACK PEPPER, GARLIC POWDER (garlic powder.)), FRESH ONIONS, BLACKEYED PEAS (black-eye peas, water, salt, calcium chloride, and disodium edta (to preserve color). ), JALAPENOS, FLOUR (enriched bleached wheat flour (niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid). Processed in a facility that contains milk, soy and eggs. ), FRESH GARLIC, KOSHER SALT (salt, yellow prussiate of soda), BLACK PEPPER",lunch
69,Roasted Red Pepper Hummus**,2 OZ,58,24,2.6g,0.4g,0g,0mg,249.3mg,2.4g,6.8g,2.7g,1.5g,3%,3%,5%,11%,"GARBANZO BEANS (cooked dried chick peas, water, salt, and disodium edta (to preserve color)), RED PEPPERS (red bell peppers, water, sea salt and citric acid. ), TAHINI (pure ground sesame seeds), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), PARSLEY, FRESH GARLIC, KOSHER SALT (salt, yellow prussiate of soda), PEPPER SAUCE (vinegar, aged peppers (peppers, salt, vinegar), water, xanthan gum and benzoate of soda (to preserve freshness and flavor))",lunch
70,"Cheese, Feta*",1 OZ,75,54,6g,4.2g,- - - g,25.2mg,316.4mg,4g,1.2g,0g,1.2g,14%,1%,2%,0%,"FETA CHEESE (pasteurized milk, cheese cultures, salt, enzymes)",lunch
71,Chocolate Soy Milk**,8 OZ,85,13,1.4g,0g,0g,0mg,80.3mg,2.8g,15.1g,0.9g,13.2g,28%,9%,1%,0%,"CHOCOLATE SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, cocoa (dutch process), carrageenan, potassium citrate, natural flavor, sea salt, REB A (natural stevia leaf sweetener).  Vitamins & Minerals: calcium carbonate, vitamin A palmitate, vitamin D2, riboflavin (B2), vitamin B12.)",lunch
72,Fatoush Salad**,2 OZ,57,43,4.8g,0.7g,0g,0mg,119.1mg,1g,3.7g,1.4g,1.3g,2%,3%,83%,19%,"Romaine Lettuce (CHOPPED ROMAINE LETTUCE), FRESH CUCUMBER, FRESH TOMATOES, FRESH GREEN PEPPERS, SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), COUSCOUS (wheat flour  contains: wheat ), FRESH GREEN ONIONS, SALT (salt, calcium silicate, dextrose, potassium iodide.), FRESH GARLIC, PARSLEY FLAKES (parsley flakes. ), BLACK PEPPER",lunch
